# GroupLab range-statistic table, docs/STATISTICS.md sections 5 and 15.3. Generated by `grouplab stats range-table` with seed 20260914.
# Groups of n shots from a circular bivariate normal with sigma 1, statistics averaged over nGroups groups: ES extreme spread,
# FoM figure of merit, D bounding-box diagonal, RS Rayleigh sigma with the c4 correction. M mean, SD standard deviation, Q025 and Q975 quantiles.
n,nGroups,replications,ES_M,ES_SD,ES_Q025,ES_Q975,FoM_M,FoM_SD,FoM_Q025,FoM_Q975,D_M,D_SD,D_Q025,D_Q975,RS_M,RS_SD,RS_Q025,RS_Q975
46,1,10000000,5.125334857404914,0.6002167404709716,4.082079879586433,6.43332269243032,4.432906442406125,0.4655446152976798,3.5892890382414055,5.412206149070924,6.302653673502603,0.6667307345090465,5.097069024253715,7.7078351207076095,1.0000041019237993,0.07465140335503286,0.8564363121780607,1.1489145327032955
47,1,10000000,5.141565869734034,0.5986806000349921,4.100940608613572,6.445949156291039,4.449703330431158,0.4643563279528695,3.608382492302927,5.426513390099312,6.326141468600902,0.6650296197436262,5.123847946906649,7.72748809398218,1.000025906535024,0.07382005634952603,0.857963929733143,1.1472245084638797
48,1,10000000,5.157515787349003,0.5972447714069612,4.119505256417653,6.459594241491908,4.466107095605477,0.4634725821920664,3.626339512731814,5.440913633384662,6.349057537172704,0.6637623105794548,5.148867373912784,7.747983932334936,0.9999859635788814,0.07302611433519375,0.8594312854688448,1.1455927878001404
49,1,10000000,5.172894460915456,0.5954740014312352,4.1385818357626745,6.471029226399222,4.482240502534108,0.4619908755663942,3.6454251846368115,5.454419844665694,6.371591965713681,0.6615795750536312,5.175784994663878,7.766176339191978,0.9999866958142591,0.0722743874613447,0.8608330832428935,1.1440280740766537
50,1,10000000,5.188529952333749,0.5941421973342521,4.157298140990086,6.484667661440097,4.498109262751375,0.46110526571109756,3.663023589676433,5.468289878400041,6.393811670608983,0.66033672491287,5.200466395674422,7.7858495973702935,1.0000002997853576,0.07152118408375947,0.8624023458707096,1.1426502012003308
55,1,10000000,5.259293368863558,0.5875733697041239,4.2408670058356455,6.543219292326244,4.571883089471392,0.45621864034159865,3.7461952955831337,5.532848643391843,6.496906537109663,0.6532594695723595,5.317405963432894,7.875183476661529,0.9999923832891708,0.06810649787053376,0.8687314315268041,1.1356416631205988
60,1,10000000,5.323743273640755,0.5814263719844847,4.316704519346161,6.593930967214815,4.63868241879986,0.4516718121088622,3.82205938780693,5.5907810509728,6.590352467601016,0.6466718832761846,5.42356511455928,7.955981703426865,1.0000127107133283,0.06516024980125656,0.8742370210428321,1.1296285069664154
65,1,10000000,5.381880081895705,0.576115554181607,4.385203353721011,6.642972584462331,4.699029501186016,0.4478916451143699,3.8897308192162865,5.6436495877032575,6.674767715560962,0.641215570122925,5.5188088953901735,8.029458350935718,0.9999795928573817,0.06255175710038327,0.8792698349923207,1.1244289099628102
70,1,10000000,5.435444789738483,0.5714281621307027,4.447660484870231,6.687103266386425,4.754586951902688,0.44424479060048405,3.9522673985607484,5.691740818772779,6.752566393650586,0.6359316265511946,5.606438101104573,8.096757361840728,0.9999720264651377,0.060249630249797216,0.8835470092708105,1.1197531077534701
75,1,10000000,5.484815997622794,0.5668743383817371,4.506625426555276,6.727376900512612,4.805773468871009,0.4409387046907224,4.010230722018703,5.73665300314867,6.82424287690425,0.6311413386529493,5.688006164016871,8.159368734364845,0.9999931317813913,0.058166200260954176,0.887585949410382,1.1155977970442672
80,1,10000000,5.530585986652399,0.5627050364867718,4.560486940665907,6.764578432761504,4.853393711410006,0.43801073740909396,4.063294020593442,5.778330710620616,6.89092204598846,0.6268965658249571,5.762479095227691,8.217813658705799,0.999970192181529,0.05630597942704657,0.8912127285505077,1.1118723821381262
85,1,10000000,5.573717142044329,0.5590624748166599,4.610525165853241,6.800993006701758,4.898031737629322,0.43517908374870007,4.113296393345176,5.817231294602928,6.953475013296284,0.6228164143694063,5.832864059664447,8.271285337266805,0.9999924985837261,0.05460700832316632,0.8944670531325116,1.1084499073531322
